prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size,level
104,o4-mini,in-front-right,in-front-right,1,high,16.49,3264,0.0,42,10,High
105,o4-mini,in-front-right,incorrect prompt,0,high,8.4,2043,0.0,42,10,High
106,o4-mini,in-front-right,in-front-right,1,high,14.01,2703,0.0,42,10,High
107,o4-mini,in-front-right,in-front-right,1,high,6.3,1829,0.0,42,10,High
108,o4-mini,in-front-right,in-front-right,1,high,12.24,2467,0.0,42,10,High
109,o4-mini,in-front-right,in-front-right,1,high,19.67,3528,0.0,42,10,High
110,o4-mini,in-front-right,in-front-right,1,high,8.31,2084,0.0,42,10,High
111,o4-mini,in-front-right,in-front-left,0,high,11.03,2224,0.0,42,10,High
112,o4-mini,in-front-right,in-front-right,1,high,10.78,2313,0.0,42,10,High
113,o4-mini,in-front-right,in-front-right,1,high,13.39,2492,0.0,42,10,High
114,o4-mini,in-front-right,in-front-right,1,high,15.36,2907,0.0,42,10,High
115,o4-mini,in-front-right,in-front-right,1,high,18.84,3039,0.0,42,10,High
116,o4-mini,in-front-right,in-front-right,1,high,9.94,2462,0.0,42,10,High
117,o4-mini,in-front-right,in-front-right,1,high,23.49,3940,0.0,42,10,High
118,o4-mini,in-front-right,in-front-right,1,high,25.04,4059,0.0,42,10,High
119,o4-mini,in-front-right,in-front-right,1,high,12.3,2631,0.0,42,10,High
120,o4-mini,in-front-right,in-front-right,1,high,6.82,1910,0.0,42,10,High
121,o4-mini,in-front-right,in-front-right,1,high,7.51,2002,0.0,42,10,High
122,o4-mini,in-front-right,incorrect prompt,0,high,14.09,2597,0.0,42,10,High
123,o4-mini,in-front-right,in-front-right,1,high,25.85,3429,0.0,42,10,High
124,o4-mini,in-front-right,in-front-right,1,high,5.63,1780,0.0,42,10,High
125,o4-mini,in-front-right,in-front-right,1,high,13.11,2697,0.0,42,10,High
126,o4-mini,in-front-right,in-front-right,1,high,7.99,1982,0.0,42,10,High
127,o4-mini,in-front-right,in-front-right,1,high,16.8,2932,0.0,42,10,High
128,o4-mini,in-front-right,in-front-right,1,high,10.65,2268,0.0,42,10,High
129,o4-mini,in-front-right,in-front-right,1,high,18.6,3239,0.0,42,10,High
130,o4-mini,in-front-right,in-front-right,1,high,12.43,2531,0.0,42,10,High
131,o4-mini,in-front-right,in-front-right,1,high,8.3,2029,0.0,42,10,High
132,o4-mini,in-front-right,in-front-right,1,high,13.43,2608,0.0,42,10,High
133,o4-mini,in-front-right,in-front-right,1,high,7.41,2020,0.0,42,10,High
134,o4-mini,in-front-right,in-front-right,1,high,6.4,1846,0.0,42,10,High
135,o4-mini,in-front-right,in-front-right,1,high,11.16,2447,0.0,42,10,High
136,o4-mini,in-front-right,in-front-right,1,high,10.65,2277,0.0,42,10,High
137,o4-mini,in-front-right,in-front-right,1,high,9.11,2021,0.0,42,10,High
138,o4-mini,in-front-right,in-front-right,1,high,20.59,3657,0.0,42,10,High
139,o4-mini,in-front-right,in-front-right,1,high,16.58,2996,0.0,42,10,High
140,o4-mini,in-front-right,in-front-right,1,high,18.64,3228,0.0,42,10,High
141,o4-mini,in-front-right,in-front-right,1,high,16.8,3262,0.0,42,10,High
142,o4-mini,in-front-right,in-front-right,1,high,10.99,2340,0.0,42,10,High
143,o4-mini,in-front-right,incorrect prompt,0,high,10.32,2338,0.0,42,10,High
144,o4-mini,in-front-right,in-front-right,1,high,6.34,1931,0.0,42,10,High
145,o4-mini,in-front-right,in-front-right,1,high,3.69,1682,0.0,42,10,High
146,o4-mini,in-front-right,in-front-right,1,high,6.65,2122,0.0,42,10,High
147,o4-mini,in-front-right,in-front-right,1,high,17.22,3031,0.0,42,10,High
148,o4-mini,in-front-right,in-front-right,1,high,31.32,4597,0.0,42,10,High
149,o4-mini,in-front-right,in-front-right,1,high,15.77,2805,0.0,42,10,High
150,o4-mini,in-front-right,in-front-right,1,high,5.73,1827,0.0,42,10,High
151,o4-mini,behind-right,behind-right,1,high,11.27,2487,0.0,42,10,High
152,o4-mini,behind-right,behind-right,1,high,14.34,2830,0.0,42,10,High
153,o4-mini,behind-right,behind-right,1,high,16.78,3132,0.0,42,10,High
154,o4-mini,behind-right,behind-right,1,high,10.54,2090,0.0,42,10,High
155,o4-mini,behind-right,behind-right,1,high,17.31,3213,0.0,42,10,High
156,o4-mini,behind-right,behind-right,1,high,10.85,2373,0.0,42,10,High
157,o4-mini,behind-right,behind-right,1,high,6.11,1764,0.0,42,10,High
158,o4-mini,behind-right,behind-right,1,high,8.79,2026,0.0,42,10,High
159,o4-mini,behind-right,behind-right,1,high,9.68,2045,0.0,42,10,High
160,o4-mini,behind-right,behind-right,1,high,19.05,3486,0.0,42,10,High
161,o4-mini,behind-right,behind-right,1,high,16.38,3132,0.0,42,10,High
162,o4-mini,behind-right,behind-right,1,high,10.44,2439,0.0,42,10,High
163,o4-mini,behind-right,behind-right,1,high,22.53,3942,0.0,42,10,High
164,o4-mini,behind-right,behind-right,1,high,12.49,2637,0.0,42,10,High
165,o4-mini,behind-right,incorrect prompt,0,high,8.39,2175,0.0,42,10,High
166,o4-mini,behind-right,behind-right,1,high,6.78,1974,0.0,42,10,High
167,o4-mini,behind-right,behind-right,1,high,6.56,1961,0.0,42,10,High
168,o4-mini,behind-right,behind-right,1,high,10.11,2432,0.0,42,10,High
169,o4-mini,behind-right,behind-right,1,high,10.54,2477,0.0,42,10,High
170,o4-mini,behind-right,behind-right,1,high,10.03,2292,0.0,42,10,High
171,o4-mini,behind-right,behind-right,1,high,12.12,2766,0.0,42,10,High
172,o4-mini,behind-right,behind-right,1,high,11.47,2636,0.0,42,10,High
173,o4-mini,behind-right,behind-right,1,high,15.9,3309,0.0,42,10,High
174,o4-mini,behind-right,incorrect prompt,0,high,5.56,1868,0.0,42,10,High
175,o4-mini,behind-right,behind-right,1,high,9.11,2368,0.0,42,10,High
176,o4-mini,behind-right,behind-right,1,high,17.03,3243,0.0,42,10,High
177,o4-mini,behind-right,behind-right,1,high,12.3,2785,0.0,42,10,High
178,o4-mini,behind-right,behind-right,1,high,9.69,2302,0.0,42,10,High
179,o4-mini,behind-right,behind-right,1,high,6.66,1974,0.0,42,10,High
180,o4-mini,behind-right,behind-right,1,high,30.02,4514,0.0,42,10,High
181,o4-mini,behind-right,behind-right,1,high,11.17,2483,0.0,42,10,High
182,o4-mini,behind-right,behind-right,1,high,20.01,3354,0.0,42,10,High
183,o4-mini,behind-right,behind-right,1,high,6.28,1828,0.0,42,10,High
184,o4-mini,behind-right,behind-right,1,high,25.06,4178,0.0,42,10,High
185,o4-mini,behind-right,behind-right,1,high,17.83,3316,0.0,42,10,High
186,o4-mini,behind-right,behind-right,1,high,16.9,3310,0.0,42,10,High
187,o4-mini,behind-right,behind-right,1,high,15.57,3234,0.0,42,10,High
188,o4-mini,behind-right,incorrect prompt,0,high,8.15,2189,0.0,42,10,High
189,o4-mini,behind-right,behind-right,1,high,19.4,3572,0.0,42,10,High
190,o4-mini,behind-right,behind-right,1,high,7.61,2165,0.0,42,10,High
191,o4-mini,behind-right,behind-right,1,high,22.9,3932,0.0,42,10,High
192,o4-mini,behind-right,incorrect prompt,0,high,15.26,3081,0.0,42,10,High
193,o4-mini,behind-right,behind-right,1,high,9.42,2367,0.0,42,10,High
194,o4-mini,behind-right,incorrect prompt,0,high,8.49,2190,0.0,42,10,High
195,o4-mini,behind-right,behind-right,1,high,9.12,2236,0.0,42,10,High
196,o4-mini,behind-right,behind-right,1,high,12.02,2493,0.0,42,10,High
197,o4-mini,behind-right,incorrect prompt,0,high,7.22,2026,0.0,42,10,High
198,o4-mini,behind-right,behind-right,1,high,8.52,2192,0.0,42,10,High
199,o4-mini,behind-right,behind-right,1,high,20.46,3599,0.0,42,10,High
200,o4-mini,behind-right,behind-right,1,high,18.14,3233,0.0,42,10,High
201,o4-mini,behind,incorrect prompt,0,high,3.82,1620,0.0,42,10,High
202,o4-mini,behind,behind,1,high,34.38,4951,0.0,42,10,High
203,o4-mini,behind,behind,1,high,4.7,1769,0.0,42,10,High
204,o4-mini,behind,behind,1,high,5.2,1823,0.0,42,10,High
205,o4-mini,behind,incorrect prompt,0,high,4.38,1792,0.0,42,10,High
206,o4-mini,behind,behind,1,high,7.14,2113,0.0,42,10,High
207,o4-mini,behind,behind,1,high,6.21,1888,0.0,42,10,High
208,o4-mini,behind,behind,1,high,27.11,4547,0.0,42,10,High
209,o4-mini,behind,behind,1,high,5.46,1726,0.0,42,10,High
210,o4-mini,behind,behind,1,high,9.81,2343,0.0,42,10,High
211,o4-mini,behind,behind,1,high,6.22,1908,0.0,42,10,High
212,o4-mini,behind,behind,1,high,13.26,2755,0.0,42,10,High
213,o4-mini,behind,incorrect prompt,0,high,10.08,2396,0.0,42,10,High
214,o4-mini,behind,behind,1,high,6.0,1806,0.0,42,10,High
215,o4-mini,behind,behind,1,high,12.87,2143,0.0,42,10,High
216,o4-mini,behind,behind,1,high,34.75,4990,0.0,42,10,High
217,o4-mini,behind,behind,1,high,15.1,2904,0.0,42,10,High
218,o4-mini,behind,behind,1,high,7.12,1970,0.0,42,10,High
219,o4-mini,behind,behind,1,high,8.28,2163,0.0,42,10,High
220,o4-mini,behind,behind,1,high,22.74,3530,0.0,42,10,High
221,o4-mini,behind,behind,1,high,8.64,2328,0.0,42,10,High
222,o4-mini,behind,behind,1,high,21.67,3841,0.0,42,10,High
223,o4-mini,behind,behind,1,high,17.31,2731,0.0,42,10,High
224,o4-mini,behind,behind,1,high,11.36,2015,0.0,42,10,High
225,o4-mini,behind,behind,1,high,19.89,3129,0.0,42,10,High
226,o4-mini,behind,incorrect prompt,0,high,28.84,3386,0.0,42,10,High
227,o4-mini,behind,behind,1,high,26.54,3657,0.0,42,10,High
228,o4-mini,behind,behind,1,high,6.85,1704,0.0,42,10,High
229,o4-mini,behind,behind,1,high,18.25,3361,0.0,42,10,High
230,o4-mini,behind,behind,1,high,12.79,2110,0.0,42,10,High
231,o4-mini,behind,behind,1,high,11.47,2016,0.0,42,10,High
232,o4-mini,behind,incorrect prompt,0,high,28.16,3321,0.0,42,10,High
233,o4-mini,behind,behind,1,high,14.19,2335,0.0,42,10,High
234,o4-mini,behind,behind,1,high,20.39,3625,0.0,42,10,High
235,o4-mini,behind,behind,1,high,9.14,2228,0.0,42,10,High
236,o4-mini,behind,incorrect prompt,0,high,4.18,1658,0.0,42,10,High
237,o4-mini,behind,behind,1,high,15.9,3215,0.0,42,10,High
238,o4-mini,behind,behind,1,high,12.59,2639,0.0,42,10,High
239,o4-mini,behind,behind,1,high,25.13,3697,0.0,42,10,High
240,o4-mini,behind,behind,1,high,9.43,1970,0.0,42,10,High
241,o4-mini,behind,behind,1,high,12.45,2259,0.0,42,10,High
242,o4-mini,behind,behind,1,high,17.61,2689,0.0,42,10,High
243,o4-mini,behind,behind,1,high,14.75,2383,0.0,42,10,High
244,o4-mini,behind,behind,1,high,11.93,2121,0.0,42,10,High
245,o4-mini,behind,incorrect prompt,0,high,17.26,2618,0.0,42,10,High
246,o4-mini,behind,behind,1,high,6.86,1953,0.0,42,10,High
247,o4-mini,behind,behind,1,high,13.73,2906,0.0,42,10,High
248,o4-mini,behind,incorrect prompt,0,high,3.98,1592,0.0,42,10,High
249,o4-mini,behind,incorrect prompt,0,high,7.89,2169,0.0,42,10,High
250,o4-mini,behind,behind,1,high,11.17,2435,0.0,42,10,High
251,o4-mini,right,incorrect prompt,0,high,33.26,4780,0.0,42,10,High
252,o4-mini,right,right,1,high,19.17,3342,0.0,42,10,High
253,o4-mini,right,right,1,high,14.95,2949,0.0,42,10,High
254,o4-mini,right,right,1,high,9.55,2318,0.0,42,10,High
255,o4-mini,right,right,1,high,18.19,3382,0.0,42,10,High
256,o4-mini,right,right,1,high,14.53,2938,0.0,42,10,High
257,o4-mini,right,right,1,high,19.46,3213,0.0,42,10,High
258,o4-mini,right,incorrect prompt,0,high,9.21,2358,0.0,42,10,High
259,o4-mini,right,right,1,high,9.12,2238,0.0,42,10,High
260,o4-mini,right,right,1,high,15.06,2868,0.0,42,10,High
261,o4-mini,right,incorrect prompt,0,high,4.39,1782,0.0,42,10,High
262,o4-mini,right,right,1,high,8.81,2253,0.0,42,10,High
263,o4-mini,right,right,1,high,18.32,3395,0.0,42,10,High
264,o4-mini,right,incorrect prompt,0,high,14.13,2702,0.0,42,10,High
265,o4-mini,right,right,1,high,15.26,2745,0.0,42,10,High
266,o4-mini,right,right,1,high,5.97,1806,0.0,42,10,High
267,o4-mini,right,right,1,high,18.91,2711,0.0,42,10,High
268,o4-mini,right,right,1,high,20.78,3001,0.0,42,10,High
269,o4-mini,right,right,1,high,7.06,1889,0.0,42,10,High
270,o4-mini,right,right,1,high,13.62,2685,0.0,42,10,High
271,o4-mini,right,incorrect prompt,0,high,3.27,1513,0.0,42,10,High
272,o4-mini,right,right,1,high,6.51,1899,0.0,42,10,High
273,o4-mini,right,right,1,high,8.95,2099,0.0,42,10,High
274,o4-mini,right,right,1,high,15.36,3263,0.0,42,10,High
275,o4-mini,right,right,1,high,15.67,2309,0.0,42,10,High
276,o4-mini,right,right,1,high,28.48,3865,0.0,42,10,High
277,o4-mini,right,right,1,high,17.19,3261,0.0,42,10,High
278,o4-mini,right,incorrect prompt,0,high,9.52,2407,0.0,42,10,High
279,o4-mini,right,right,1,high,6.45,2001,0.0,42,10,High
280,o4-mini,right,right,1,high,8.81,2235,0.0,42,10,High
281,o4-mini,right,right,1,high,8.82,2291,0.0,42,10,High
282,o4-mini,right,right,1,high,23.49,3517,0.0,42,10,High
283,o4-mini,right,right,1,high,11.32,2227,0.0,42,10,High
284,o4-mini,right,right,1,high,19.68,3581,0.0,42,10,High
285,o4-mini,right,right,1,high,9.81,2355,0.0,42,10,High
286,o4-mini,right,right,1,high,11.37,2490,0.0,42,10,High
287,o4-mini,right,right,1,high,25.93,3898,0.0,42,10,High
288,o4-mini,right,right,1,high,14.32,3061,0.0,42,10,High
289,o4-mini,right,right,1,high,5.74,1769,0.0,42,10,High
290,o4-mini,right,incorrect prompt,0,high,22.3,3201,0.0,42,10,High
291,o4-mini,right,right,1,high,22.55,3079,0.0,42,10,High
292,o4-mini,right,right,1,high,33.19,3946,0.0,42,10,High
293,o4-mini,right,right,1,high,14.53,2324,0.0,42,10,High
294,o4-mini,right,right,1,high,19.56,2893,0.0,42,10,High
295,o4-mini,right,right,1,high,19.68,3566,0.0,42,10,High
296,o4-mini,right,incorrect prompt,0,high,7.35,2236,0.0,42,10,High
297,o4-mini,right,right,1,high,21.41,3508,0.0,42,10,High
298,o4-mini,right,right,1,high,5.73,1833,0.0,42,10,High
299,o4-mini,right,right,1,high,19.47,3421,0.0,42,10,High
300,o4-mini,right,right,1,high,5.0,1770,0.0,42,10,High
301,o4-mini,left,left,1,high,10.44,2502,0.0,42,10,High
302,o4-mini,left,left,1,high,8.52,2155,0.0,42,10,High
303,o4-mini,left,left,1,high,9.4,2164,0.0,42,10,High
304,o4-mini,left,left,1,high,8.19,2099,0.0,42,10,High
305,o4-mini,left,left,1,high,9.51,2273,0.0,42,10,High
306,o4-mini,left,left,1,high,7.39,2097,0.0,42,10,High
307,o4-mini,left,left,1,high,10.76,2545,0.0,42,10,High
308,o4-mini,left,left,1,high,10.74,2217,0.0,42,10,High
309,o4-mini,left,left,1,high,19.89,3629,0.0,42,10,High
310,o4-mini,left,left,1,high,22.19,3983,0.0,42,10,High
311,o4-mini,left,incorrect prompt,0,high,14.25,2891,0.0,42,10,High
312,o4-mini,left,left,1,high,24.54,4153,0.0,42,10,High
313,o4-mini,left,left,1,high,18.32,3482,0.0,42,10,High
314,o4-mini,left,left,1,high,21.13,3691,0.0,42,10,High
315,o4-mini,left,left,1,high,23.03,3992,0.0,42,10,High
316,o4-mini,left,left,1,high,32.66,4910,0.0,42,10,High
317,o4-mini,left,left,1,high,20.34,3453,0.0,42,10,High
318,o4-mini,left,incorrect prompt,0,high,3.53,1705,0.0,42,10,High
319,o4-mini,left,left,1,high,20.92,3762,0.0,42,10,High
320,o4-mini,left,incorrect prompt,0,high,7.5,2104,0.0,42,10,High
321,o4-mini,left,left,1,high,14.09,2451,0.0,42,10,High
322,o4-mini,left,left,1,high,12.37,2818,0.0,42,10,High
323,o4-mini,left,left,1,high,10.76,2635,0.0,42,10,High
324,o4-mini,left,left,1,high,12.29,2640,0.0,42,10,High
325,o4-mini,left,left,1,high,10.85,2451,0.0,42,10,High
326,o4-mini,left,left,1,high,25.51,3941,0.0,42,10,High
327,o4-mini,left,left,1,high,14.73,2721,0.0,42,10,High
328,o4-mini,left,left,1,high,33.59,5081,0.0,42,10,High
329,o4-mini,left,left,1,high,16.79,3168,0.0,42,10,High
330,o4-mini,left,left,1,high,6.86,1988,0.0,42,10,High
331,o4-mini,left,left,1,high,8.61,2171,0.0,42,10,High
332,o4-mini,left,left,1,high,15.03,2946,0.0,42,10,High
333,o4-mini,left,left,1,high,10.26,2426,0.0,42,10,High
334,o4-mini,left,left,1,high,20.6,3633,0.0,42,10,High
335,o4-mini,left,left,1,high,11.59,2264,0.0,42,10,High
336,o4-mini,left,left,1,high,7.36,2107,0.0,42,10,High
337,o4-mini,left,left,1,high,14.06,2982,0.0,42,10,High
338,o4-mini,left,left,1,high,18.0,3302,0.0,42,10,High
339,o4-mini,left,left,1,high,6.29,1886,0.0,42,10,High
340,o4-mini,left,left,1,high,9.66,2356,0.0,42,10,High
341,o4-mini,left,left,1,high,15.67,3012,0.0,42,10,High
342,o4-mini,left,left,1,high,15.91,3031,0.0,42,10,High
343,o4-mini,left,left,1,high,6.23,1778,0.0,42,10,High
344,o4-mini,left,left,1,high,7.0,2088,0.0,42,10,High
345,o4-mini,left,left,1,high,14.62,2274,0.0,42,10,High
346,o4-mini,left,left,1,high,13.99,2314,0.0,42,10,High
347,o4-mini,left,left,1,high,11.28,2503,0.0,42,10,High
348,o4-mini,left,left,1,high,16.76,3159,0.0,42,10,High
349,o4-mini,left,left,1,high,7.6,2060,0.0,42,10,High
350,o4-mini,left,left,1,high,13.36,2791,0.0,42,10,High
351,o4-mini,in-front,in-front,1,high,16.85,3221,0.0,42,10,High
352,o4-mini,in-front,in-front,1,high,24.8,4207,0.0,42,10,High
353,o4-mini,in-front,in-front,1,high,13.89,2822,0.0,42,10,High
354,o4-mini,in-front,in-front,1,high,5.1,1771,0.0,42,10,High
355,o4-mini,in-front,in-front,1,high,6.81,1982,0.0,42,10,High
356,o4-mini,in-front,in-front,1,high,23.38,3783,0.0,42,10,High
357,o4-mini,in-front,in-front,1,high,5.17,1736,0.0,42,10,High
358,o4-mini,in-front,in-front,1,high,8.64,2027,0.0,42,10,High
359,o4-mini,in-front,in-front,1,high,10.2,1899,0.0,42,10,High
360,o4-mini,in-front,in-front,1,high,11.25,1993,0.0,42,10,High
361,o4-mini,in-front,in-front,1,high,14.56,2238,0.0,42,10,High
362,o4-mini,in-front,in-front,1,high,9.03,2189,0.0,42,10,High
363,o4-mini,in-front,in-front,1,high,16.36,3223,0.0,42,10,High
364,o4-mini,in-front,in-front,1,high,11.67,2617,0.0,42,10,High
365,o4-mini,in-front,in-front,1,high,14.15,2976,0.0,42,10,High
366,o4-mini,in-front,in-front,1,high,13.3,2938,0.0,42,10,High
367,o4-mini,in-front,in-front,1,high,3.49,1569,0.0,42,10,High
368,o4-mini,in-front,in-front,1,high,10.23,2430,0.0,42,10,High
