prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
53,o4-mini,in-front-right,in-front-right,1,low,8.65,1834,0.0,42,10
54,o4-mini,in-front-right,in-front-right,1,low,5.70,1770,0.0,42,10
55,o4-mini,in-front-right,in-front-right,1,low,2.67,1322,0.0,42,10
56,o4-mini,in-front-right,in-front-right,1,low,6.54,1706,0.0,42,10
57,o4-mini,in-front-right,in-front-right,1,low,2.93,1386,0.0,42,10
58,o4-mini,in-front-right,in-front-right,1,low,6.84,1834,0.0,42,10
59,o4-mini,in-front-right,in-front-right,1,low,5.26,1578,0.0,42,10
60,o4-mini,in-front-right,in-front-right,1,low,7.94,1770,0.0,42,10
61,o4-mini,in-front-right,in-front-right,1,low,5.19,1706,0.0,42,10
62,o4-mini,in-front-right,in-front-right,1,low,4.77,1578,0.0,42,10
63,o4-mini,in-front-right,right,0,low,10.53,2086,0.0,42,10
64,o4-mini,in-front-right,in-front-right,1,low,6.89,1770,0.0,42,10
65,o4-mini,in-front-right,in-front-right,1,low,6.72,1770,0.0,42,10
66,o4-mini,in-front-right,in-front-right,1,low,6.85,1834,0.0,42,10
67,o4-mini,in-front-right,right,0,low,5.37,1702,0.0,42,10
68,o4-mini,in-front-right,in-front-right,1,low,3.13,1450,0.0,42,10
69,o4-mini,in-front-right,in-front-right,1,low,5.55,1706,0.0,42,10
70,o4-mini,in-front-right,in-front-right,1,low,6.14,1706,0.0,42,10
71,o4-mini,in-front-right,in-front-right,1,low,3.77,1450,0.0,42,10
72,o4-mini,in-front-right,in-front-right,1,low,3.62,1450,0.0,42,10
73,o4-mini,in-front-right,in-front-right,1,low,3.62,1450,0.0,42,10
74,o4-mini,in-front-right,in-front-right,1,low,4.27,1514,0.0,42,10
75,o4-mini,in-front-right,in-front-right,1,low,4.85,1642,0.0,42,10
76,o4-mini,in-front-right,in-front-right,1,low,12.60,2602,0.0,42,10
77,o4-mini,in-front-right,in-front-right,1,low,3.74,1514,0.0,42,10
78,o4-mini,in-front-right,in-front-right,1,low,4.20,1514,0.0,42,10
79,o4-mini,in-front-right,in-front-right,1,low,3.85,1514,0.0,42,10
80,o4-mini,in-front-right,in-front-right,1,low,4.41,1514,0.0,42,10
81,o4-mini,in-front-right,in-front-right,1,low,4.86,1514,0.0,42,10
82,o4-mini,in-front-right,in-front-right,1,low,2.88,1386,0.0,42,10
83,o4-mini,in-front-right,in-front-right,1,low,3.34,1450,0.0,42,10
84,o4-mini,in-front-right,in-front-right,1,low,8.31,1642,0.0,42,10
85,o4-mini,in-front-right,in-front-right,1,low,12.79,1962,0.0,42,10
86,o4-mini,in-front-right,in-front-right,1,low,13.45,2026,0.0,42,10
87,o4-mini,in-front-right,in-front-right,1,low,4.90,1514,0.0,42,10
88,o4-mini,in-front-right,in-front-right,1,low,4.66,1514,0.0,42,10
89,o4-mini,in-front-right,in-front-right,1,low,5.17,1578,0.0,42,10
90,o4-mini,in-front-right,in-front-right,1,low,3.79,1514,0.0,42,10
91,o4-mini,in-front-right,in-front-right,1,low,3.27,1450,0.0,42,10
92,o4-mini,in-front-right,in-front-right,1,low,7.13,1706,0.0,42,10
93,o4-mini,in-front-right,in-front-right,1,low,3.90,1514,0.0,42,10
94,o4-mini,in-front-right,in-front-right,1,low,9.86,1898,0.0,42,10
95,o4-mini,in-front-right,in-front-right,1,low,9.16,1770,0.0,42,10
96,o4-mini,in-front-right,in-front-right,1,low,7.22,1706,0.0,42,10
97,o4-mini,in-front-right,in-front-right,1,low,5.75,1706,0.0,42,10
98,o4-mini,in-front-right,in-front-right,1,low,3.89,1450,0.0,42,10
99,o4-mini,in-front-right,in-front-right,1,low,8.99,2026,0.0,42,10
100,o4-mini,in-front-right,in-front-right,1,low,3.79,1450,0.0,42,10
101,o4-mini,in-front-left,in-front-left,1,low,3.07,1386,0.0,42,10
102,o4-mini,in-front-left,in-front-left,1,low,5.52,1642,0.0,42,10
103,o4-mini,in-front-left,in-front-left,1,low,3.91,1450,0.0,42,10
104,o4-mini,in-front-left,in-front-left,1,low,4.12,1514,0.0,42,10
105,o4-mini,in-front-left,in-front-left,1,low,6.66,1578,0.0,42,10
106,o4-mini,in-front-left,in-front-left,1,low,7.31,1578,0.0,42,10
107,o4-mini,in-front-left,in-front-left,1,low,3.51,1386,0.0,42,10
108,o4-mini,in-front-left,in-front-left,1,low,6.66,1770,0.0,42,10
109,o4-mini,in-front-left,in-front-left,1,low,7.51,1834,0.0,42,10
110,o4-mini,in-front-left,in-front-left,1,low,5.68,1642,0.0,42,10
111,o4-mini,in-front-left,in-front-left,1,low,5.76,1770,0.0,42,10
112,o4-mini,in-front-left,in-front-left,1,low,6.03,1770,0.0,42,10
113,o4-mini,in-front-left,in-front-left,1,low,5.53,1642,0.0,42,10
114,o4-mini,in-front-left,in-front-left,1,low,5.73,1706,0.0,42,10
115,o4-mini,in-front-left,in-front-left,1,low,4.10,1450,0.0,42,10
116,o4-mini,in-front-left,in-front-left,1,low,6.02,1642,0.0,42,10
117,o4-mini,in-front-left,in-front-left,1,low,3.91,1450,0.0,42,10
118,o4-mini,in-front-left,in-front-left,1,low,5.63,1834,0.0,42,10
119,o4-mini,in-front-left,in-front-left,1,low,4.11,1642,0.0,42,10
120,o4-mini,in-front-left,in-front-left,1,low,3.10,1450,0.0,42,10
121,o4-mini,in-front-left,in-front-left,1,low,3.34,1514,0.0,42,10
122,o4-mini,in-front-left,in-front-left,1,low,5.25,1770,0.0,42,10
123,o4-mini,in-front-left,in-front-left,1,low,4.40,1642,0.0,42,10
124,o4-mini,in-front-left,in-front-left,1,low,3.26,1450,0.0,42,10
125,o4-mini,in-front-left,in-front-left,1,low,4.54,1578,0.0,42,10
126,o4-mini,in-front-left,in-front-left,1,low,4.68,1642,0.0,42,10
127,o4-mini,in-front-left,in-front-left,1,low,5.79,1770,0.0,42,10
128,o4-mini,in-front-left,in-front-left,1,low,3.04,1514,0.0,42,10
129,o4-mini,in-front-left,in-front-left,1,low,2.84,1450,0.0,42,10
130,o4-mini,in-front-left,in-front-left,1,low,3.69,1514,0.0,42,10
131,o4-mini,in-front-left,in-front-left,1,low,4.20,1578,0.0,42,10
132,o4-mini,in-front-left,in-front-left,1,low,4.61,1642,0.0,42,10
133,o4-mini,in-front-left,in-front-left,1,low,2.41,1386,0.0,42,10
134,o4-mini,in-front-left,in-front-left,1,low,4.25,1578,0.0,42,10
135,o4-mini,in-front-left,in-front-left,1,low,3.83,1450,0.0,42,10
136,o4-mini,in-front-left,in-front-left,1,low,4.19,1514,0.0,42,10
137,o4-mini,in-front-left,in-front-left,1,low,9.84,2090,0.0,42,10
138,o4-mini,in-front-left,in-front,0,low,5.59,1640,0.0,42,10
139,o4-mini,in-front-left,in-front-left,1,low,10.20,2090,0.0,42,10
140,o4-mini,in-front-left,in-front-left,1,low,3.31,1386,0.0,42,10
141,o4-mini,in-front-left,in-front-left,1,low,7.27,1770,0.0,42,10
142,o4-mini,in-front-left,in-front-left,1,low,6.04,1642,0.0,42,10
143,o4-mini,in-front-left,in-front-left,1,low,4.73,1514,0.0,42,10
144,o4-mini,in-front-left,in-front-left,1,low,3.01,1386,0.0,42,10
145,o4-mini,in-front-left,in-front-left,1,low,8.79,1834,0.0,42,10
146,o4-mini,in-front-left,in-front-left,1,low,3.95,1450,0.0,42,10
147,o4-mini,in-front-left,in-front-left,1,low,6.80,1706,0.0,42,10
148,o4-mini,in-front-left,in-front-left,1,low,3.39,1386,0.0,42,10
149,o4-mini,in-front-left,in-front-left,1,low,7.77,1770,0.0,42,10
150,o4-mini,in-front-left,in-front-left,1,low,5.35,1578,0.0,42,10
151,o4-mini,behind-left,behind-left,1,low,2.47,1320,0.0,42,10
152,o4-mini,behind-left,behind-left,1,low,4.42,1512,0.0,42,10
153,o4-mini,behind-left,behind-left,1,low,6.45,1640,0.0,42,10
154,o4-mini,behind-left,behind-left,1,low,7.48,1704,0.0,42,10
155,o4-mini,behind-left,behind-left,1,low,4.88,1512,0.0,42,10
156,o4-mini,behind-left,behind-left,1,low,10.53,1960,0.0,42,10
157,o4-mini,behind-left,behind-left,1,low,10.13,1896,0.0,42,10
158,o4-mini,behind-left,behind-left,1,low,5.77,1576,0.0,42,10
159,o4-mini,behind-left,behind-left,1,low,11.45,2024,0.0,42,10
160,o4-mini,behind-left,behind-left,1,low,7.82,1704,0.0,42,10
161,o4-mini,behind-left,behind-left,1,low,3.42,1384,0.0,42,10
162,o4-mini,behind-left,behind-left,1,low,5.08,1448,0.0,42,10
163,o4-mini,behind-left,behind-left,1,low,7.50,1640,0.0,42,10
164,o4-mini,behind-left,behind-left,1,low,5.42,1512,0.0,42,10
165,o4-mini,behind-left,behind-left,1,low,10.21,1832,0.0,42,10
166,o4-mini,behind-left,behind-left,1,low,7.08,1704,0.0,42,10
167,o4-mini,behind-left,behind-left,1,low,7.89,2024,0.0,42,10
168,o4-mini,behind-left,behind-left,1,low,4.09,1576,0.0,42,10
169,o4-mini,behind-left,behind-left,1,low,3.22,1448,0.0,42,10
170,o4-mini,behind-left,behind-left,1,low,3.69,1512,0.0,42,10
171,o4-mini,behind-left,behind-left,1,low,5.22,1640,0.0,42,10
172,o4-mini,behind-left,behind-left,1,low,2.85,1448,0.0,42,10
173,o4-mini,behind-left,behind-left,1,low,3.96,1576,0.0,42,10
174,o4-mini,behind-left,behind-left,1,low,2.91,1448,0.0,42,10
175,o4-mini,behind-left,behind-left,1,low,4.50,1640,0.0,42,10
176,o4-mini,behind-left,behind-left,1,low,4.72,1576,0.0,42,10
177,o4-mini,behind-left,behind-left,1,low,6.80,1768,0.0,42,10
178,o4-mini,behind-left,behind-left,1,low,5.91,1640,0.0,42,10
179,o4-mini,behind-left,behind-left,1,low,6.38,1704,0.0,42,10
180,o4-mini,behind-left,behind-left,1,low,3.99,1448,0.0,42,10
181,o4-mini,behind-left,behind-left,1,low,9.65,1960,0.0,42,10
182,o4-mini,behind-left,behind-left,1,low,3.68,1448,0.0,42,10
183,o4-mini,behind-left,behind-left,1,low,6.46,1832,0.0,42,10
184,o4-mini,behind-left,behind-left,1,low,3.48,1512,0.0,42,10
185,o4-mini,behind-left,behind-left,1,low,2.96,1448,0.0,42,10
186,o4-mini,behind-left,behind-left,1,low,5.25,1640,0.0,42,10
187,o4-mini,behind-left,behind-left,1,low,9.54,2088,0.0,42,10
188,o4-mini,behind-left,behind-left,1,low,4.78,1576,0.0,42,10
189,o4-mini,behind-left,behind-left,1,low,3.03,1384,0.0,42,10
190,o4-mini,behind-left,behind-left,1,low,7.08,1832,0.0,42,10
191,o4-mini,behind-left,behind-left,1,low,3.61,1384,0.0,42,10
192,o4-mini,behind-left,behind-left,1,low,4.61,1512,0.0,42,10
193,o4-mini,behind-left,behind-left,1,low,7.02,1704,0.0,42,10
194,o4-mini,behind-left,behind-left,1,low,6.08,1704,0.0,42,10
195,o4-mini,behind-left,behind-left,1,low,6.14,1832,0.0,42,10
196,o4-mini,behind-left,behind-left,1,low,5.44,1704,0.0,42,10
197,o4-mini,behind-left,behind-left,1,low,7.19,1896,0.0,42,10
198,o4-mini,behind-left,behind-left,1,low,8.89,2024,0.0,42,10
199,o4-mini,behind-left,behind-left,1,low,4.07,1576,0.0,42,10
200,o4-mini,behind-left,behind-left,1,low,6.89,1832,0.0,42,10
201,o4-mini,left,left,1,low,3.12,1383,0.0,42,10
202,o4-mini,left,left,1,low,9.54,1702,0.0,42,10
203,o4-mini,left,left,1,low,6.49,1638,0.0,42,10
204,o4-mini,left,left,1,low,3.48,1382,0.0,42,10
205,o4-mini,left,left,1,low,5.51,1574,0.0,42,10
206,o4-mini,left,left,1,low,4.11,1574,0.0,42,10
207,o4-mini,left,left,1,low,2.25,1318,0.0,42,10
208,o4-mini,left,left,1,low,2.94,1446,0.0,42,10
209,o4-mini,left,left,1,low,3.07,1446,0.0,42,10
210,o4-mini,left,left,1,low,4.44,1638,0.0,42,10
211,o4-mini,left,right,0,low,4.48,1638,0.0,42,10
212,o4-mini,left,left,1,low,5.23,1702,0.0,42,10
213,o4-mini,left,left,1,low,4.12,1638,0.0,42,10
214,o4-mini,left,left,1,low,3.25,1510,0.0,42,10
215,o4-mini,left,left,1,low,2.95,1510,0.0,42,10
216,o4-mini,left,left,1,low,2.79,1446,0.0,42,10
217,o4-mini,left,left,1,low,2.99,1446,0.0,42,10
218,o4-mini,left,left,1,low,3.77,1574,0.0,42,10
219,o4-mini,left,left,1,low,2.33,1382,0.0,42,10
220,o4-mini,left,left,1,low,3.68,1574,0.0,42,10
221,o4-mini,left,left,1,low,2.73,1446,0.0,42,10
222,o4-mini,left,left,1,low,3.76,1510,0.0,42,10
223,o4-mini,left,left,1,low,2.52,1382,0.0,42,10
224,o4-mini,left,left,1,low,5.06,1766,0.0,42,10
225,o4-mini,left,left,1,low,4.87,1638,0.0,42,10
226,o4-mini,left,left,1,low,2.60,1382,0.0,42,10
227,o4-mini,left,left,1,low,4.71,1638,0.0,42,10
228,o4-mini,left,left,1,low,4.00,1574,0.0,42,10
229,o4-mini,left,left,1,low,2.53,1318,0.0,42,10
230,o4-mini,left,left,1,low,2.58,1318,0.0,42,10
231,o4-mini,left,left,1,low,2.72,1382,0.0,42,10
232,o4-mini,left,left,1,low,4.25,1510,0.0,42,10
233,o4-mini,left,left,1,low,3.66,1446,0.0,42,10
234,o4-mini,left,left,1,low,5.27,1638,0.0,42,10
235,o4-mini,left,left,1,low,3.53,1510,0.0,42,10
236,o4-mini,left,left,1,low,3.39,1446,0.0,42,10
237,o4-mini,left,left,1,low,3.00,1382,0.0,42,10
238,o4-mini,left,left,1,low,3.42,1446,0.0,42,10
239,o4-mini,left,left,1,low,3.10,1446,0.0,42,10
240,o4-mini,left,left,1,low,3.54,1446,0.0,42,10
241,o4-mini,left,left,1,low,5.16,1638,0.0,42,10
242,o4-mini,left,left,1,low,5.13,1702,0.0,42,10
243,o4-mini,left,left,1,low,3.38,1510,0.0,42,10
244,o4-mini,left,left,1,low,4.78,1702,0.0,42,10
245,o4-mini,left,left,1,low,3.81,1574,0.0,42,10
246,o4-mini,left,left,1,low,1.84,1318,0.0,42,10
247,o4-mini,left,left,1,low,5.82,1638,0.0,42,10
248,o4-mini,left,left,1,low,5.86,1638,0.0,42,10
249,o4-mini,left,left,1,low,5.22,1446,0.0,42,10
250,o4-mini,left,left,1,low,2.24,1318,0.0,42,10
251,o4-mini,right,right,1,low,3.60,1382,0.0,42,10
252,o4-mini,right,right,1,low,3.24,1318,0.0,42,10
253,o4-mini,right,right,1,low,3.08,1382,0.0,42,10
254,o4-mini,right,right,1,low,5.14,1446,0.0,42,10
255,o4-mini,right,right,1,low,2.85,1382,0.0,42,10
256,o4-mini,right,right,1,low,5.42,1510,0.0,42,10
257,o4-mini,right,right,1,low,3.29,1446,0.0,42,10
258,o4-mini,right,right,1,low,5.35,1638,0.0,42,10
259,o4-mini,right,right,1,low,6.35,1510,0.0,42,10
260,o4-mini,right,right,1,low,5.25,1510,0.0,42,10
261,o4-mini,right,right,1,low,2.20,1318,0.0,42,10
262,o4-mini,right,right,1,low,2.68,1446,0.0,42,10
263,o4-mini,right,right,1,low,4.88,1574,0.0,42,10
264,o4-mini,right,right,1,low,3.76,1446,0.0,42,10
265,o4-mini,right,right,1,low,2.50,1382,0.0,42,10
266,o4-mini,right,right,1,low,3.53,1510,0.0,42,10
267,o4-mini,right,right,1,low,3.15,1446,0.0,42,10
268,o4-mini,right,right,1,low,8.10,1830,0.0,42,10
269,o4-mini,right,right,1,low,3.62,1510,0.0,42,10
270,o4-mini,right,right,1,low,6.32,1510,0.0,42,10
271,o4-mini,right,right,1,low,4.45,1574,0.0,42,10
272,o4-mini,right,right,1,low,5.33,1702,0.0,42,10
273,o4-mini,right,right,1,low,7.70,1830,0.0,42,10
274,o4-mini,right,right,1,low,4.86,1510,0.0,42,10
275,o4-mini,right,right,1,low,4.54,1574,0.0,42,10
276,o4-mini,right,right,1,low,3.52,1510,0.0,42,10
277,o4-mini,right,right,1,low,3.49,1510,0.0,42,10
278,o4-mini,right,right,1,low,4.13,1510,0.0,42,10
279,o4-mini,right,right,1,low,2.52,1382,0.0,42,10
280,o4-mini,right,right,1,low,2.26,1382,0.0,42,10
281,o4-mini,right,right,1,low,1.82,1318,0.0,42,10
282,o4-mini,right,right,1,low,9.01,1702,0.0,42,10
283,o4-mini,right,right,1,low,3.91,1574,0.0,42,10
284,o4-mini,right,right,1,low,2.25,1318,0.0,42,10
285,o4-mini,right,right,1,low,3.92,1510,0.0,42,10
286,o4-mini,right,right,1,low,2.64,1318,0.0,42,10
287,o4-mini,right,right,1,low,4.79,1574,0.0,42,10
288,o4-mini,right,right,1,low,4.82,1574,0.0,42,10
289,o4-mini,right,right,1,low,3.40,1510,0.0,42,10
290,o4-mini,right,right,1,low,3.90,1574,0.0,42,10
291,o4-mini,right,right,1,low,3.77,1574,0.0,42,10
292,o4-mini,right,right,1,low,4.20,1638,0.0,42,10
293,o4-mini,right,right,1,low,2.45,1382,0.0,42,10
294,o4-mini,right,right,1,low,3.58,1510,0.0,42,10
295,o4-mini,right,right,1,low,2.25,1318,0.0,42,10
296,o4-mini,right,right,1,low,2.67,1382,0.0,42,10
297,o4-mini,right,right,1,low,3.20,1446,0.0,42,10
298,o4-mini,right,right,1,low,3.90,1446,0.0,42,10
299,o4-mini,right,right,1,low,5.19,1638,0.0,42,10
300,o4-mini,right,right,1,low,2.26,1318,0.0,42,10
301,o4-mini,behind,behind,1,low,5.17,1638,0.0,42,10
302,o4-mini,behind,behind,1,low,2.50,1318,0.0,42,10
303,o4-mini,behind,behind,1,low,3.28,1510,0.0,42,10
304,o4-mini,behind,behind,1,low,2.14,1382,0.0,42,10
305,o4-mini,behind,behind,1,low,2.05,1318,0.0,42,10
306,o4-mini,behind,behind,1,low,2.68,1446,0.0,42,10
307,o4-mini,behind,behind,1,low,2.95,1382,0.0,42,10
308,o4-mini,behind,behind,1,low,2.78,1382,0.0,42,10
309,o4-mini,behind,behind,1,low,2.22,1382,0.0,42,10
310,o4-mini,behind,behind,1,low,3.72,1510,0.0,42,10
311,o4-mini,behind,behind,1,low,3.29,1446,0.0,42,10
312,o4-mini,behind,behind,1,low,2.55,1382,0.0,42,10
313,o4-mini,behind,behind,1,low,3.24,1446,0.0,42,10
314,o4-mini,behind,behind,1,low,2.04,1318,0.0,42,10
315,o4-mini,behind,behind,1,low,4.75,1382,0.0,42,10
316,o4-mini,behind,behind,1,low,4.04,1382,0.0,42,10
317,o4-mini,behind,behind,1,low,3.72,1510,0.0,42,10
318,o4-mini,behind,behind,1,low,3.81,1510,0.0,42,10
319,o4-mini,behind,behind,1,low,2.15,1318,0.0,42,10
320,o4-mini,behind,behind,1,low,5.98,1702,0.0,42,10
321,o4-mini,behind,behind,1,low,3.03,1447,0.0,42,10
322,o4-mini,behind,behind,1,low,2.40,1382,0.0,42,10
323,o4-mini,behind,behind,1,low,2.27,1382,0.0,42,10
324,o4-mini,behind,behind,1,low,2.71,1446,0.0,42,10
325,o4-mini,behind,behind,1,low,4.10,1511,0.0,42,10
326,o4-mini,behind,behind,1,low,2.64,1382,0.0,42,10
327,o4-mini,behind,behind,1,low,2.02,1318,0.0,42,10
328,o4-mini,behind,behind,1,low,2.74,1382,0.0,42,10
329,o4-mini,behind,behind,1,low,4.55,1446,0.0,42,10
330,o4-mini,behind,behind,1,low,2.71,1382,0.0,42,10
331,o4-mini,behind,behind,1,low,3.68,1510,0.0,42,10
332,o4-mini,behind,behind,1,low,2.96,1446,0.0,42,10
333,o4-mini,behind,behind,1,low,2.16,1382,0.0,42,10
334,o4-mini,behind,behind,1,low,4.06,1510,0.0,42,10
335,o4-mini,behind,behind,1,low,2.54,1382,0.0,42,10
336,o4-mini,behind,behind,1,low,4.47,1574,0.0,42,10
337,o4-mini,behind,behind,1,low,3.65,1510,0.0,42,10
338,o4-mini,behind,behind,1,low,3.21,1446,0.0,42,10
339,o4-mini,behind,behind,1,low,3.58,1446,0.0,42,10
340,o4-mini,behind,behind,1,low,2.87,1382,0.0,42,10
341,o4-mini,behind,behind,1,low,3.07,1446,0.0,42,10
342,o4-mini,behind,behind,1,low,3.38,1382,0.0,42,10
343,o4-mini,behind,behind,1,low,9.55,1318,0.0,42,10
344,o4-mini,behind,behind,1,low,3.91,1446,0.0,42,10
345,o4-mini,behind,behind,1,low,2.89,1382,0.0,42,10
346,o4-mini,behind,behind,1,low,3.43,1382,0.0,42,10
347,o4-mini,behind,behind,1,low,5.22,1574,0.0,42,10
348,o4-mini,behind,behind,1,low,2.95,1382,0.0,42,10
349,o4-mini,behind,behind,1,low,4.38,1510,0.0,42,10
350,o4-mini,behind,behind,1,low,3.16,1446,0.0,42,10
351,o4-mini,in-front,in-front,1,low,3.09,1448,0.0,42,10
352,o4-mini,in-front,in-front,1,low,5.03,1640,0.0,42,10
353,o4-mini,in-front,in-front,1,low,2.88,1384,0.0,42,10
354,o4-mini,in-front,in-front,1,low,2.56,1320,0.0,42,10
355,o4-mini,in-front,in-front,1,low,2.37,1320,0.0,42,10
356,o4-mini,in-front,in-front,1,low,2.55,1384,0.0,42,10
357,o4-mini,in-front,in-front,1,low,2.73,1320,0.0,42,10
358,o4-mini,in-front,in-front,1,low,3.40,1448,0.0,42,10
359,o4-mini,in-front,in-front,1,low,4.60,1512,0.0,42,10
360,o4-mini,in-front,in-front,1,low,3.82,1448,0.0,42,10
361,o4-mini,in-front,in-front,1,low,2.65,1384,0.0,42,10
362,o4-mini,in-front,in-front,1,low,3.66,1448,0.0,42,10
363,o4-mini,in-front,in-front,1,low,2.89,1384,0.0,42,10
364,o4-mini,in-front,in-front,1,low,2.30,1320,0.0,42,10
365,o4-mini,in-front,in-front,1,low,2.93,1384,0.0,42,10
366,o4-mini,in-front,in-front,1,low,3.58,1448,0.0,42,10
367,o4-mini,in-front,in-front,1,low,3.58,1448,0.0,42,10
368,o4-mini,in-front,in-front,1,low,3.98,1448,0.0,42,10
369,o4-mini,in-front,in-front,1,low,2.99,1384,0.0,42,10
370,o4-mini,in-front,in-front,1,low,2.84,1320,0.0,42,10
371,o4-mini,in-front,in-front,1,low,3.82,1448,0.0,42,10
372,o4-mini,in-front,in-front,1,low,3.21,1384,0.0,42,10
373,o4-mini,in-front,in-front,1,low,3.41,1384,0.0,42,10
374,o4-mini,in-front,in-front,1,low,4.10,1448,0.0,42,10
375,o4-mini,in-front,in-front,1,low,3.43,1385,0.0,42,10
376,o4-mini,in-front,in-front,1,low,2.84,1384,0.0,42,10
377,o4-mini,in-front,in-front,1,low,5.16,1704,0.0,42,10
378,o4-mini,in-front,in-front,1,low,2.06,1320,0.0,42,10
379,o4-mini,in-front,in-front,1,low,2.79,1448,0.0,42,10
380,o4-mini,in-front,in-front,1,low,2.57,1384,0.0,42,10
381,o4-mini,in-front,in-front,1,low,2.25,1384,0.0,42,10
382,o4-mini,in-front,in-front,1,low,2.87,1448,0.0,42,10
383,o4-mini,in-front,in-front,1,low,2.60,1320,0.0,42,10
384,o4-mini,in-front,in-front,1,low,4.88,1512,0.0,42,10
385,o4-mini,in-front,in-front,1,low,6.35,1640,0.0,42,10
386,o4-mini,in-front,in-front,1,low,4.65,1448,0.0,42,10
387,o4-mini,in-front,in-front,1,low,4.36,1448,0.0,42,10
388,o4-mini,in-front,in-front,1,low,4.10,1448,0.0,42,10
389,o4-mini,in-front,in-front,1,low,2.75,1384,0.0,42,10
390,o4-mini,in-front,in-front,1,low,3.29,1384,0.0,42,10
391,o4-mini,in-front,in-front,1,low,4.20,1512,0.0,42,10
392,o4-mini,in-front,in-front,1,low,2.76,1384,0.0,42,10
393,o4-mini,in-front,in-front,1,low,2.88,1384,0.0,42,10
394,o4-mini,in-front,in-front,1,low,3.79,1448,0.0,42,10
